epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.94943,1.6536,4.02294,1.57705,0.03579,0.18376,0.01928,0.01228,1.0663,3.87236,1.20392,6.666e-05,6.666e-05,6.666e-05
2,15.0089,1.4813,3.75607,1.42939,0.03646,0.23504,0.06469,0.03573,1.21068,3.70297,1.15822,0.000115833,0.000115833,0.000115833
3,22.0673,1.51544,3.02047,1.37374,0.02384,0.26923,0.07311,0.03864,1.39158,3.62692,1.30316,0.000134209,0.000134209,0.000134209
4,29.0452,1.55335,2.55432,1.42535,0.02483,0.41987,0.0856,0.04834,1.38307,3.49484,1.28302,0.000121788,0.000121788,0.000121788
5,36.215,1.51692,2.37545,1.3845,0.0279,0.43269,0.10491,0.06296,1.35117,3.34636,1.26786,7.85699e-05,7.85699e-05,7.85699e-05
