epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3789,2.4979,3.1351,2.65625,0.00333,1,0.25729,0.08852,0.83095,3.25684,1.20715,6e-05,6e-05,6e-05
2,23.9273,1.62774,2.67268,2.09823,0.00333,1,0.55573,0.3016,0.89311,3.24478,1.21363,0.00011228,0.00011228,0.00011228
3,30.6753,1.24147,2.36792,1.78168,0.00333,1,0.855,0.58003,1.22535,3.39875,1.40943,0.00013288,0.00013288,0.00013288
4,37.3833,1.49482,2.28442,1.98609,0.00333,1,0.90885,0.54902,1.28228,3.46655,1.38652,0.0001218,0.0001218,0.0001218
5,44.0132,1.40679,2.13989,1.93566,0.00333,1,0.94522,0.54994,1.222,3.41218,1.3411,7.904e-05,7.904e-05,7.904e-05
